grantee,description,amount,period,initiative,program
California Community Builders,"California Community Builder's mission is to close the wealth gap for communities of color through homeownership. This grant supports the statewide Two Hundred Project, an initiative sponsored by California Community Builders. The Two Hundred aims to mitigate the wealth gap through community education and organizing, and the advocacy of policies and laws that focus on the creation of homeownership opportunities for low income people of color.","$100,000",2018 - 2019,Justice & Opportunity,Housing
California Housing Partnership,"The State Legislature created the California Housing Partnership in 1988 to help preserve California’s existing supply of affordable homes and to provide leadership on affordable housing policy and resource issues. The California Housing Partnership provides the expertise, technical assistance, and leadership to create and preserve homes for those with the fewest housing choices. This general operating grant will help add additional staff to further their goals of being a resource for government agencies, providing mapping, technical assistance, and facilitation to support equitable up-zoning proposals, help stakeholders engage with the Governor's housing agenda, and provide analysis and data tools to State housing agencies for affirmatively furthering fair housing.","$250,000",2018 - 2019,Justice & Opportunity,Housing
California Institute of Technology,"This grant supports the development of a scalable distributed computing environment for exploratory single cell data analysis. (PI:Matt Thomson, Human Cell Atlas Computational Tools RFA)","$215,530",2018 - 2019,Science,Human Cell Atlas
California Institute of Technology,"This grant supports understanding the mechanisms behind RNA-mediated toxicity in neurodegenerative diseases through comprehensive characterization of RNA aggregation during disease progression. (PI: Mitchell Guttman, Early Career Award)","$2,500,000",2018 - 2024,Science,Neurodegeneration Challenge Network
California Institute of Technology,"This grant supports understanding the role of periphery and the peripheral nervous system in propagating neurodegeneration and engineering non-invasive gene-delivery tools that specifically target non-neuronal brain cells relevant to neurodegeneration, such as immune cells and brain endothelial cells comprising the vasculature, since an impaired BBB can initiate and/or precipitate neurodegeneration. (PI: Viviana Gradinaru, Early Career Award)","$2,500,000",2018 - 2024,Science,Neurodegeneration Challenge Network
Casa Circulo Cultural,"Casa Circulo Cultural provides creative, educational, and recreational opportunities for Hispanic families, while promoting Hispanic art, culture, and traditions. This grant supported their annual Dia de Los Muertos event.","$3,000",2018 - 2019,Community,Bay Area
"CASA de Maryland, Inc. (CASA)","CASA directly address racial disparities for immigrants and working-class families in the areas of economic well-being, educational achievement, health and safety through programs including vocational training, job preparedness and placement, financial literacy citizenship, ESOL classes, as well as through community organizing and advocacy.**CASA is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to CASA, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Catalyze SV,"This grant supports Catalyze SV, an organization that engages community members, developers, and city leaders to envision and create sustainable, equitable, and vibrant places for people in Silicon Valley.","$25,000",2018 - 2019,Justice & Opportunity,Housing
Catholic Charities CYO of the Archdiocese of San Francisco,"Catholic Charities supports families, aging adults and adults with disabilities, and youth through human services and opportunities for healthy growth and development.This grant bolsters their mission to end youth homelessness by providing operational support for the Youth Club at St. Francis of Assisi.","$200,000",2018 - 2020,Community,Bay Area
Center for American Progress,"The Center for American Progress (CAP) is an independent nonpartisan policy institute that is dedicated to improving the lives of all Americans, through bold, progressive ideas. This grant supports CAP's work to develop and advance ""clean slate"" policies to automate clearing of criminal records.","$665,052",2018 - 2020,Justice & Opportunity,Criminal Justice Reform
Center for Civic Design,"The Center for Civic Design (CCD) brings modern research and design practices to government, with a goal to make every interaction between government and citizens easy, effective, and pleasant. With this grant, CCD is conducting research on how new citizens engage in their communities and in civic life, which will be shared with funders and organizations working to support New Americans.","$145,300",2018 - 2019,Justice & Opportunity,Immigration
Center for Healthy Minds at University of Wisconsin-Madison,"The Center for Healthy Minds at the University of Wisconsin-Madison and its affiliated non-profit Healthy Minds Innovations aim to cultivate well-being and relieve suffering through a scientific understanding of the mind. This grant supports a research project with Healthy Minds Innovations to advance adolescent wellbeing and the healthy development of skills that lead to greater connection, awareness, insight, and purpose through easy-to-use mobile measures and tools.","$5,000,000",2018 - 2021,Education,Learning Science
Center on Budget and Policy Priorities,"For more than three decades, the Center for Budget and Policy Priorities (CBPP) has been at the forefront of national and state debates to advance policies to reduce poverty, narrow inequality and expand economic opportunity. A key component of this effort is to connect eligible individuals to benefits. CBPP does this at the federal and state levels by advancing policies to reduce barriers to access and promoting coordination across programs so families can access the full package of benefits for which they qualify. These efforts include work on the Integrated Benefits Initiative, a partnership with Code for America that is aimed at addressing the lack of simple and efficient state systems to allow people who are eligible for safety net programs like SNAP and Medicaid to apply and enroll.","$350,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Center on the Developing Child at Harvard University,"The Center on the Developing Child at Harvard University is leveraging advances in science to build an R&D platform to improve health and learning outcomes for young children, especially those facing adversity. This grant supports the Center to partner with community leaders, parents, scientists, pediatricians, and other health care providers to develop new measures of stress effects and resilience in young children, and to co-create an implementation strategy to scale these measures in community settings in a way that empowers parents and service providers to promote the healthy development of young children.","$3,000,000",2018 - 2021,Education,Learning Science
Chalkbeat,"Chalkbeat is an independent non-profit news organization with a mission to create the news and information that education decision makers need to create better schools for all communities, and particularly those that have historically lacked access to a quality education. This grant provides general operating support for Chalkbeat's work.","$250,000",2018 - 2019,Education,Communications
Character Lab,"Character Lab aims to advance the science of character development. This grant supports the expansion of Character Lab Research Network in order to improve the quality and quantity of teacher-mediated, school-based research on social, emotional, cognitive, and motivational supports for students.","$1,912,000",2018 - 2021,Education,Learning Science
Chiefs for Change,Chiefs for Change engages district and state education leaders to ensure all students have access to high quality college and career opportunities. This grant provides general operating support for Chiefs for Change's programs.,"$1,200,000",2018 - 2019,Education,Public Policy
Children's Health Council,"Children's Health Council provides top-rated education and mental health services for children, teens, and young adults. This capacity building grant supports program evaluation.","$10,000",2018 - 2019,Community,Bay Area
Children's Health Council,"Children's Health Council provides top-rated education and mental health services for children, teens, and young adults. This Community Fund grant supports their work across all four communities the Fund operates in.","$100,000",2018,Community,Bay Area
Cincinnati Union Cooperative Initiative,"After working with partners to organize and advocate for the passage of a groundbreaking $15M/year levy, Cincinnati Union Cooperative Initiative is filling care “deserts” by building cooperative businesses to provide family-sustaining wages, increasing small business resilience in vulnerable communities, and removing barriers to employment for low-income families.**This donation recognizes CUCI as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to CUCI, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Citizens of the World Charter Schools,"Citizens of the World is a network of public charter schools serving diverse communities in Los Angeles and Kansas City with a mission to impact and expand the conversation about what an excellent education contains, requires, and accomplishes. This grant provides general operating support for Citizens of the World to codify and share their work integrating evidence-based comprehensive student development practices.","$50,000",2018 - 2019,Education,Student Development
City Garden Montessori,"City Garden Montessori, based in St. Louis, aims to redefine education by developing the whole child in an excellent, inclusive, Montessori school; to reimagine community by creating spaces and systems that help to restore our collective humanity; and to reinvigorate our world by creating a culture in which individuals and communities thrive without disparities and barriers to success. This grant provides general operating support for City Garden Montessori to codify and share their work integrating evidence-based comprehensive student development practices.","$50,000",2018 - 2019,Education,Student Development
City of Redwood City/Fair Oaks Community Center (Redwood City 2020),"As part of CZI's ongoing efforts in Redwood City, this grant supports the Redwood City 2020 Child Care Catalyzer Initiative as well as the Bike Safety Campaign.","$100,000",2018 - 2019,Community,Bay Area
City of Redwood City/Fair Oaks Community Center (Veterans Memorial Senior Center),"The Veterans Memorial Senior Center promotes the important role of advocacy for seniors and stakeholders. This sponsorship supports the Center's annual holiday luncheon for local seniors, volunteers, and staff.","$2,400",2018 - 2019,Community,Bay Area
City of Redwood City/Fair Oaks Community Center,"The Fair Oaks Community Center is a multi-service facility offering a variety of services to the broader Redwood City Community. This grant provides general operating support to maintain ongoing services like childcare, crisis intervention, art and more.","$10,000",2018 - 2019,Community,Bay Area
Coalfield Development Corp.,"Through social-enterprise incubation, Coalfield Development is a direct job-creator in a region with the country's highest unemployment and lowest business start-up rates. They work to serve the whole person by building financial, intellectual, social, and environmental capital.**Coalfield is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While the Rockefeller Foundation disbursed the funds to Coalfield, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Coalition on Homelessness,"The Coalition on Homelessness organizes homeless citizens and front line service providers to create permanent solutions to homelessness, while working to protect the human rights of those forced to remain on the streets. This grant provides support for homeless youth and the Coalition's mission by supporting staff wellness.","$10,000",2018,Community,Bay Area
Code for America,"Code for America uses the principles and practices of the digital age to improve how government serves the American public, and how the public improves government. This grant supports Code for America's Clear My Record Project, which leverages technology and design to advance automatic record clearance reforms.","$750,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Coding It Forward,"Coding it Forward is a student-run nonprofit that operates the Civic Digital Fellowship, a summer fellowship program for undergraduate and graduate students to work in the government technology space. This grant supported Coding it Forward's operational growth and expansion of the 2018 Civic Digital Fellowship to 36 fellows.","$70,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Codman Academy Charter Public School,"Codman Academy Charter Public School, based in Dorchester, Massachusetts, aims to provide an outstanding, transformative education to prepare students for success in college, further education, and beyond. This grant supports Codman Academy to work with Codman Square Health Center to integrate academic supports for students with physical, mental, and social-emotional interventions, and to codify and share their learnings, knowledge, and tools to reach more students.","$50,000",2018,Education,Student Development
Cold Spring Harbor Laboratory,"This grant supports the conversion of existing and new preprints on the bioRxiv service into the JATS XML format, a digital standard for scientific papers. This format will support new forms of article enhancement and presentation.","$1,984,012",2018 - 2020,Science,Knowledge Environments
Cold Spring Harbor Laboratory,"This grant supports the development of novel machine learning software to systematically identify the genetic factors and molecular mechanisms that lead to motor neuron cell death, with a particular focus on retrotransposon reactivation. (PI: Molly Gale Hammell, Early Career Award)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
"Collaborative for Social, Emotional and Academic Learning (CASEL)","The Collaborative for Academic, Social, and Emotional Learning collaborates with states, districts, schools, and leading experts in the field of social and emotional learning to drive research, guide practice, and inform policy that enhances experiences and equitable outcomes for all students. This grant supports a collaborative process to ensure social and emotional learning reflects recent scientific findings to inform the organization's suite of resources for high-quality implementation nationwide.","$750,000",2018,Education,Student Development
College of Physicians and Surgeons of Columbia University (Columbia University),"This grant supports the assembly of context-specific gene regulatory networks for the systematic reconstruction of single-cell states and their molecular determinants. (PI: Andrea Califano, Human Cell Atlas Computational Tools RFA)","$220,462",2018 - 2019,Science,Human Cell Atlas
College Track,College Track empowers students from underserved communities to graduate from college. This capacity building grant supports a staff summit and motivational interview training.,"$10,000",2018 - 2019,Community,Bay Area
College Track,College Track empowers students from underserved communities to graduate from college. This Community Fund grant provides operational support for their ongoing work in East Palo Alto.,"$75,000",2018,Community,Bay Area
Common Counsel Foundation (Fund for An Inclusive California),"The Fund for An Inclusive California provides grants to community-based organizations and networks across the state, each of whom are committed to grassroots community organizing-led strategies for tackling California’s housing crisis. The Fund adds capacity and convenes groups together to help develop shared priorities, common purpose, and facilitate collective action to build a powerful movement for housing justice, with support from allied foundations and philanthropies across California.","$900,000",2018 - 2021,Justice & Opportunity,Housing
Common Sense Media,"Common Sense Media aims to improve the lives of kids and families by providing independent reviews, age ratings, and other information about all types of media. Common Sense Education helps K-12 schools harness the power of technology for learning by providing a K-12 digital citizenship curriculum and EdTech Ratings and Reviews. This grant supports Common Sense Education in a project evaluating the privacy policies of education technology tools in order to help schools make smart procurement decisions and companies create strong privacy protections.","$750,000",2018 - 2020,Education,K-12 Education
"Communities In Schools, Inc.","The Together for Students Challenge was created by three national, education-focused non-profit organizations — the Coalition for Community Schools, Communities In Schools, and StriveTogether — to engage communities to support the needs of local students. This grant supports up to five communities, through the Together for Students Challenge, to work together to design a unique plan to better meet the individual needs and support the success of local students.","$4,850,000",2018 - 2021,Education,K-12 Education
Community Learning Center Institute,"Community Learning Center Institute works with schools in the greater Cincinnati area to develop into community learning centers, each with a set of financially self-sustaining, co-located community partnerships responsive to the vision and needs of the school and its neighborhood. This grant supports the Institute's work with Oyler School to integrate academic supports for students with physical, mental, and social-emotional interventions, and to codify and share their learnings, knowledge, and tools to reach more students.","$50,000",2018,Education,Student Development
Community Legal Services in East Palo Alto (CLSEPA),"Community Legal Services in East Palo Alto (CLSEPA) is a nonprofit offering legal services that improve the lives of low-income families throughout the region. They specialize in immigration, housing, workers’ rights, records clearance, and consumer protection. Funding from CZI supported CLSEPA's work to provide emergency rental assistance to approximately 147 families, helping to prevent displacement and homelessness for close to 400 individuals in need across San Mateo County.","$250,000",2018 - 2019,Justice & Opportunity,Housing
"Community Solutions International, Inc (The Kelsey)","The Kelsey is creating mixed ability, mixed income inclusive housing communities and partnering with organizations and agencies who seek to do the same. This grant from CZI helps elevate advocacy and organizing efforts to promote awareness and define cross-sector solutions for disability inclusive housing in the Bay Area, as well as to support efforts to develop The Kelsey's first inclusive housing development.","$235,500",2018 - 2019,Justice & Opportunity,Housing
Community Ventures Corp.,"Community Ventures, founded in 1982, helps people own homes and start businesses. From education to neighborhood revitalization, our areas of focus offer the opportunity to dramatically improve the quality of life for people across Kentucky.**This donation recognizes Community Ventures as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While RF disbursed the funds to Community Ventures Corp. the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Compass Family Services - San Francisco,"Compass Family Services helps homeless families and those at imminent risk to achieve housing stability, economic self-sufficiency, and well-being. To bolster their mission of aiding homeless youth, this grant supports staff wellness.","$15,000",2018,Community,Bay Area
Convergence Center for Policy Resolution (Education Reimagined),"Education Reimagined is working towards a future where every child has access to a learner-centered education where they are valued as unique individuals, their agency and passions are cultivated, and their learning is nurtured in caring communities; and where every educator, family, and community is supported and empowered to make a difference for young people. This grant provides general operating support for the organization's work to unite and ignite a nationwide movement of students, teachers, and education leaders inventing and advocating for this learner-centered education system.","$200,000",2018 - 2019,Education,Public Policy
Cornell University,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI: Davide Risso, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
Council of Chief State School Officers,"The Council of Chief State School Officers is a nonpartisan, nationwide, non-profit organization of public officials who head departments of elementary and secondary education. This grant supports the organization in: supporting state leaders to build districts' capacity to tailor instruction to meet individual student needs; developing a series of resources for state leaders to promote learning environments that support students' holistic development; and recruiting, retaining, and developing a diverse and effective educator workforce prepared to meet the needs of all students, particularly students of color.","$350,000",2018 - 2019,Education,Public Policy
CREDO at Stanford University,CREDO at Stanford University produces research and evaluation to advance evidence-based policies and decisions in education to improve outcomes for all students. This grant provides general operating support for CREDO's work.,"$250,000",2018 - 2019,Education,Public Policy
Dana-Farber Cancer Institute,"This grant supports building a Cell Dynamics Portal for data visualization, exploration, and analysis with emphasis on state transitions, developmental trajectories, genetic differences, inferred dynamics, and interactions. (PI: Chris Sander, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Dana-Farber Cancer Institute,"This grant supports the generation of a comprehensive benchmark data set of single-cell lineage trees with endpoint cell states measurements using smFSIH and scRNA-seq for systematically comparing computational approaches and identifying standards for multi-mode integration. (PI:Sahand Hormoz, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Dana-Farber Cancer Institute,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI: Rafael Irizarry, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
Dana-Farber Cancer Institute,"This grant supports the development of an integrative computational pipeline to combine the strengths of sequencing- and imaging-based single-cell technologies. (PI: Guo-Cheng Yuan, Human Cell Atlas Computational Tools RFA)","$246,341",2018 - 2019,Science,Human Cell Atlas
Deans for Impact,Deans for Impact aims to improve student outcomes by transforming educator preparation so all teachers graduate ready for the classroom on day one. This grant supports the organization to support educator-preparation programs in training teachers to integrate the science of learning with instructional design.,"$1,500,000",2018 - 2021,Education,Learning Science
